日期,时点,甘肃_日前市场出清总电量（MWh）
2026-01-03,11:45,7948.61
2026-01-03,12:00,7994.07
2026-01-03,12:15,7965.37
2026-01-03,12:30,7881.44
2026-01-03,12:45,7869.71
2026-01-03,13:00,7857.05
2026-01-03,13:15,7830.27
2026-01-03,13:30,7850.46
2026-01-03,13:45,7829.98
2026-01-03,14:00,7792.40
2026-01-03,14:15,7789.16
2026-01-03,14:30,7819.42
2026-01-03,14:45,7806.63
2026-01-03,15:00,7821.02
2026-01-03,15:15,7835.83
2026-01-03,15:30,7762.70
2026-01-03,15:45,7689.15
2026-01-03,16:00,7660.21
2026-01-03,16:15,7817.99
2026-01-03,16:30,7836.90
2026-01-03,16:45,7927.78
2026-01-03,17:00,8019.97
2026-01-03,17:15,8016.29
2026-01-03,17:30,8029.17
2026-01-03,17:45,8169.46
2026-01-03,18:00,8207.31
2026-01-03,18:15,8251.62
2026-01-03,18:30,8267.92
2026-01-03,18:45,8286.75
2026-01-03,19:00,8294.50
2026-01-03,19:15,8332.75
2026-01-03,19:30,8261.67
2026-01-03,19:45,8259.49
2026-01-03,20:00,8116.75
2026-01-03,20:15,8106.50
2026-01-03,20:30,8027.18
2026-01-03,20:45,8011.03
2026-01-03,21:00,7920.63
2026-01-03,21:15,7834.38
2026-01-03,21:30,7798.08
2026-01-03,21:45,7758.72
2026-01-03,22:00,7738.55
2026-01-03,22:15,8076.20
2026-01-03,22:30,7945.65
2026-01-03,22:45,7822.81
2026-01-03,23:00,7688.86
2026-01-03,23:15,7562.37
2026-01-03,23:30,7496.67
2026-01-03,23:45,7440.74
2026-01-03,24:00,7415.14
2026-01-04,00:15,7590.94
2026-01-04,00:30,7584.46
2026-01-04,00:45,7549.79
2026-01-04,01:00,7519.01
2026-01-04,01:15,7382.26
2026-01-04,01:30,7271.14
2026-01-04,01:45,7259.64
2026-01-04,02:00,7260.62
2026-01-04,02:15,7286.06
2026-01-04,02:30,7257.17
2026-01-04,02:45,7258.06
2026-01-04,03:00,7223.84
2026-01-04,03:15,7204.80
2026-01-04,03:30,7164.88
2026-01-04,03:45,7174.33
2026-01-04,04:00,7131.58
2026-01-04,04:15,7146.43
2026-01-04,04:30,7118.85
2026-01-04,04:45,7105.38
2026-01-04,05:00,7115.90
2026-01-04,05:15,7066.23
2026-01-04,05:30,7207.67
2026-01-04,05:45,7276.29
2026-01-04,06:00,7361.37
2026-01-04,06:15,7519.57
2026-01-04,06:30,7547.46
2026-01-04,06:45,7565.62
2026-01-04,07:00,7580.18
2026-01-04,07:15,7374.15
2026-01-04,07:30,7359.78
2026-01-04,07:45,7403.12
2026-01-04,08:00,7429.52
2026-01-04,08:15,7486.41
2026-01-04,08:30,7504.04
2026-01-04,08:45,7578.84
2026-01-04,09:00,7600.79
2026-01-04,09:15,7607.92
2026-01-04,09:30,7746.44
2026-01-04,09:45,7950.74
2026-01-04,10:00,8044.91
2026-01-04,10:15,8272.29
2026-01-04,10:30,8513.89
2026-01-04,10:45,8708.17
2026-01-04,11:00,8725.07
2026-01-04,11:15,8693.97
2026-01-04,11:30,8570.57
2026-01-04,11:45,8599.58
2026-01-04,12:00,8696.85
2026-01-04,12:15,8649.44
2026-01-04,12:30,8669.67
2026-01-04,12:45,8606.71
2026-01-04,13:00,8611.91
2026-01-04,13:15,8594.82
2026-01-04,13:30,8543.37
2026-01-04,13:45,8521.75
2026-01-04,14:00,8375.17
2026-01-04,14:15,8496.78
2026-01-04,14:30,8473.21
2026-01-04,14:45,8477.48
2026-01-04,15:00,8447.90
2026-01-04,15:15,8458.59
2026-01-04,15:30,8383.70
2026-01-04,15:45,8231.17
2026-01-04,16:00,8228.57
2026-01-04,16:15,8207.19
2026-01-04,16:30,8301.26
2026-01-04,16:45,8401.05
2026-01-04,17:00,8223.64
2026-01-04,17:15,8160.98
2026-01-04,17:30,8105.09
2026-01-04,17:45,8166.54
2026-01-04,18:00,8118.06
2026-01-04,18:15,8070.82
2026-01-04,18:30,8100.47
2026-01-04,18:45,8141.60
2026-01-04,19:00,8187.80
2026-01-04,19:15,8176.01
2026-01-04,19:30,8114.69
2026-01-04,19:45,8096.44
2026-01-04,20:00,8058.19
2026-01-04,20:15,8027.53
2026-01-04,20:30,7968.39
2026-01-04,20:45,7955.23
2026-01-04,21:00,7884.69
2026-01-04,21:15,7827.29
2026-01-04,21:30,7795.90
2026-01-04,21:45,7741.48
2026-01-04,22:00,7742.37
2026-01-04,22:15,8001.04
2026-01-04,22:30,7888.34
2026-01-04,22:45,7756.94
2026-01-04,23:00,7710.02
2026-01-04,23:15,7532.47
2026-01-04,23:30,7341.12
2026-01-04,23:45,7277.17
2026-01-04,24:00,7178.35
2026-01-05,00:15,7960.69
2026-01-05,00:30,7914.74
2026-01-05,00:45,7906.36
2026-01-05,01:00,7879.39
2026-01-05,01:15,7722.49
2026-01-05,01:30,7560.49
2026-01-05,01:45,7524.81
2026-01-05,02:00,7521.34
2026-01-05,02:15,7592.41
2026-01-05,02:30,7612.21
2026-01-05,02:45,7593.85
2026-01-05,03:00,7591.87
2026-01-05,03:15,7514.88
2026-01-05,03:30,7445.13
2026-01-05,03:45,7504.05
2026-01-05,04:00,7554.43
2026-01-05,04:15,7601.73
2026-01-05,04:30,7573.33
2026-01-05,04:45,7583.33
2026-01-05,05:00,7584.76
2026-01-05,05:15,7639.15
2026-01-05,05:30,7803.18
2026-01-05,05:45,7885.28
2026-01-05,06:00,7957.98
2026-01-05,06:15,8032.12
2026-01-05,06:30,8106.22
2026-01-05,06:45,8113.85
2026-01-05,07:00,8128.39
2026-01-05,07:15,7874.37
2026-01-05,07:30,7938.60
2026-01-05,07:45,7922.60
2026-01-05,08:00,7993.98
2026-01-05,08:15,8015.13
2026-01-05,08:30,8006.27
2026-01-05,08:45,8013.51
2026-01-05,09:00,8069.76
2026-01-05,09:15,8060.57
2026-01-05,09:30,8233.70
2026-01-05,09:45,8275.32
2026-01-05,10:00,8363.01
2026-01-05,10:15,8642.75
2026-01-05,10:30,8698.84
2026-01-05,10:45,8899.41
2026-01-05,11:00,8991.58
2026-01-05,11:15,9165.15
2026-01-05,11:30,9323.56
2026-01-05,11:45,9334
2026-01-05,12:00,9498.08
2026-01-05,12:15,9525.17
2026-01-05,12:30,9589.42
2026-01-05,12:45,9603.43
2026-01-05,13:00,9535.04
2026-01-05,13:15,9504.96
2026-01-05,13:30,9528.82
2026-01-05,13:45,9548.98
2026-01-05,14:00,9524.63
2026-01-05,14:15,9526.12
2026-01-05,14:30,9505.59
2026-01-05,14:45,9511.55
2026-01-05,15:00,9538.15
2026-01-05,15:15,9456.86
2026-01-05,15:30,9626.86
2026-01-05,15:45,9549.09
2026-01-05,16:00,9483.78
2026-01-05,16:15,9390.83
2026-01-05,16:30,9266.74
2026-01-05,16:45,9067.04
2026-01-05,17:00,8826.13
2026-01-05,17:15,8788.72
2026-01-05,17:30,8694.32
2026-01-05,17:45,8716.92
2026-01-05,18:00,8748.25
2026-01-05,18:15,8681.86
2026-01-05,18:30,8773.93
2026-01-05,18:45,8790.69
2026-01-05,19:00,8777.61
2026-01-05,19:15,8811.09
2026-01-05,19:30,8803.71
2026-01-05,19:45,8801.49
2026-01-05,20:00,8788.12
2026-01-05,20:15,8839.03
2026-01-05,20:30,8818.98
2026-01-05,20:45,8834.05
2026-01-05,21:00,8796.05
2026-01-05,21:15,8758.49
2026-01-05,21:30,8738.87
2026-01-05,21:45,8481.51
2026-01-05,22:00,8465.42
2026-01-05,22:15,8603.03
2026-01-05,22:30,8512.63
2026-01-05,22:45,8342.85
2026-01-05,23:00,8168.48
2026-01-05,23:15,8033.37
2026-01-05,23:30,7867.14
2026-01-05,23:45,7798.94
2026-01-05,24:00,7798.11
2026-01-06,00:15,8079.12
2026-01-06,00:30,8035.12
2026-01-06,00:45,8055.89
2026-01-06,01:00,8029.71
2026-01-06,01:15,8014.79
2026-01-06,01:30,8061.04
2026-01-06,01:45,8059.09
2026-01-06,02:00,8035.83
2026-01-06,02:15,8033.26
2026-01-06,02:30,7983.24
2026-01-06,02:45,7924.92
2026-01-06,03:00,7860.64
2026-01-06,03:15,7809.59
2026-01-06,03:30,7759.49
2026-01-06,03:45,7812.86
2026-01-06,04:00,7779.51
2026-01-06,04:15,7783.15
2026-01-06,04:30,7765.37
2026-01-06,04:45,7762.62
2026-01-06,05:00,7785.78
2026-01-06,05:15,7814.79
2026-01-06,05:30,7915.31
2026-01-06,05:45,8022.42
2026-01-06,06:00,8114.35
2026-01-06,06:15,8209.38
2026-01-06,06:30,8302.14
2026-01-06,06:45,8278.44
2026-01-06,07:00,8368.14
2026-01-06,07:15,8195.31
2026-01-06,07:30,8309.16
2026-01-06,07:45,8309.66
2026-01-06,08:00,8134.22
2026-01-06,08:15,8287.27
2026-01-06,08:30,8291.44
2026-01-06,08:45,8290.09
2026-01-06,09:00,8374.62
2026-01-06,09:15,8440.09
2026-01-06,09:30,8716.16
2026-01-06,09:45,8900.09
2026-01-06,10:00,9084.45
2026-01-06,10:15,9142.38
2026-01-06,10:30,9247.88
2026-01-06,10:45,9238.11
2026-01-06,11:00,9352.56
2026-01-06,11:15,9375.45
2026-01-06,11:30,9386.32
2026-01-06,11:45,9487.54
2026-01-06,12:00,9530.76
2026-01-06,12:15,9498.23
2026-01-06,12:30,9396.41
2026-01-06,12:45,9117.45
2026-01-06,13:00,9143.83
2026-01-06,13:15,9116.59
2026-01-06,13:30,9061.21
2026-01-06,13:45,9067.92
2026-01-06,14:00,9067.83
2026-01-06,14:15,9037.48
2026-01-06,14:30,8973.99
2026-01-06,14:45,8910.53
2026-01-06,15:00,8886.06
2026-01-06,15:15,8867.38
2026-01-06,15:30,8619.58
2026-01-06,15:45,8424.57
2026-01-06,16:00,8349.70
2026-01-06,16:15,8927.18
2026-01-06,16:30,9287.12
2026-01-06,16:45,9213.27
2026-01-06,17:00,9421.86
2026-01-06,17:15,9498.30
2026-01-06,17:30,9294.17
2026-01-06,17:45,9311.17
2026-01-06,18:00,9033.22
2026-01-06,18:15,9151.24
2026-01-06,18:30,9124.41
2026-01-06,18:45,9162.48
2026-01-06,19:00,9154.03
2026-01-06,19:15,9068.80
2026-01-06,19:30,9088.39
2026-01-06,19:45,9049.85
2026-01-06,20:00,9064.89
2026-01-06,20:15,9050.91
2026-01-06,20:30,9038.93
2026-01-06,20:45,8940.34
2026-01-06,21:00,8844.23
2026-01-06,21:15,8754.58
2026-01-06,21:30,8728.28
2026-01-06,21:45,8618.48
2026-01-06,22:00,8520.14
2026-01-06,22:15,8743.31
2026-01-06,22:30,8662.14
2026-01-06,22:45,8469.84
2026-01-06,23:00,8368.43
2026-01-06,23:15,8298.19
2026-01-06,23:30,8238.32
2026-01-06,23:45,8213.36
2026-01-06,24:00,8169.39
2026-01-07,00:15,7780.98
2026-01-07,00:30,7646.04
2026-01-07,00:45,7652.85
2026-01-07,01:00,7641.19
2026-01-07,01:15,7598.36
2026-01-07,01:30,7621.49
2026-01-07,01:45,7595.75
2026-01-07,02:00,7591.79
2026-01-07,02:15,7562.77
2026-01-07,02:30,7545.27
2026-01-07,02:45,7446.30
2026-01-07,03:00,7358.85
2026-01-07,03:15,7514.73
2026-01-07,03:30,7458.05
2026-01-07,03:45,7432.86
2026-01-07,04:00,7500.88
2026-01-07,04:15,7458.18
2026-01-07,04:30,7458.88
2026-01-07,04:45,7430.78
2026-01-07,05:00,7454.40
2026-01-07,05:15,7412.34
2026-01-07,05:30,7554.71
2026-01-07,05:45,7628.72
2026-01-07,06:00,7718.36
2026-01-07,06:15,7846.16
2026-01-07,06:30,7896.75
2026-01-07,06:45,7877.68
2026-01-07,07:00,7847.68
2026-01-07,07:15,7569.01
2026-01-07,07:30,7638.56
2026-01-07,07:45,7601.82
2026-01-07,08:00,7574.31
2026-01-07,08:15,7689.24
2026-01-07,08:30,7646.19
2026-01-07,08:45,7650.88
2026-01-07,09:00,7778.72
2026-01-07,09:15,8048.20
2026-01-07,09:30,8175.28
2026-01-07,09:45,8439.54
2026-01-07,10:00,8728.08
2026-01-07,10:15,8841.76
2026-01-07,10:30,8973.67
2026-01-07,10:45,9088.96
2026-01-07,11:00,9131.35
2026-01-07,11:15,9215.18
2026-01-07,11:30,9212.95
2026-01-07,11:45,8851.33
